Product Name,Flipkart Asuurance,Price of the product,Offer percentage
Shozie,Flipkart Assured,₹449,55% off
MILESWALKER,Flipkart Assured,₹448,55% off
Chevit,Flipkart Assured,₹501,74% off
madam glorious,Flipkart Assured,₹464,57% off
SHOPIEE,Flipkart Assured,₹257,63% off
KADY,Flipkart Assured,₹295,70% off
Denill,Flipkart Assured,₹266,73% off
CAMPUS,Flipkart Assured,"₹1,164",10% off
bizwiz,Flipkart Assured,₹221,77% off
AMAZING TRADERS,Flipkart Assured,₹169,66% off
MILESWALKER,Flipkart Assured,₹479,52% off
VENDOZ,Flipkart Assured,₹498,50% off
RINDAS,Flipkart Assured,₹498,50% off
Miggler,Flipkart Assured,₹310,61% off
SUKUN,Flipkart Assured,₹499,50% off
Denill,Flipkart Assured,₹370,25% off
CAMPUS,Flipkart Assured,"₹1,164",10% off
5647,Flipkart Assured,₹148,70% off
WALKAROO,Flipkart Assured,₹199,0
TWIN TOES,Flipkart Assured,₹399,60% off
TWIN TOES,Flipkart Assured,₹498,50% off
Shozie,Flipkart Assured,₹399,60% off
MILESWALKER,Flipkart Assured,₹448,55% off
TOSHINA SHOES KING,Flipkart Assured,₹349,65% off
RINDAS,Flipkart Assured,₹349,65% off
3SIX5,Flipkart Assured,₹378,62% off
Longwalk,Flipkart Assured,₹290,41% off
Paragon,Flipkart Assured,₹299,0
KADY,Flipkart Assured,₹295,70% off
POWER,Flipkart Assured,₹393,73% off
Bootco,Flipkart Assured,₹370,62% off
ASIAN,Flipkart Assured,₹259,48% off
PREKANZO,Flipkart Assured,₹444,55% off
TWIN TOES,Flipkart Assured,₹399,60% off
Brauch,Flipkart Assured,₹299,50% off
Brauch,Flipkart Assured,₹299,40% off
SPARX,Flipkart Assured,₹949,9% off
KADY,Flipkart Assured,₹295,70% off
Denill,Flipkart Assured,₹449,55% off
SUKUN,Flipkart Assured,₹525,47% off
